"Source:","C:\HDA_Courses\Sem2\SDHD\Labor\LabProject\40_Implementation\10_HW\XX_PCB_template\10_work\80_ProjectFiles\Lab1_SDHD\Lab1_SDHD.kicad_sch"
"Date:","26-04-2023 19:15:29"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","39"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","22u","C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor","",""
"C2, C5","2","4.7u","C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor","",""
"C3","1","1.5n","C","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor","",""
"C4","1","100n","C","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor","",""
"C6","1","3.3n","C","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor","",""
"J1, J2","2","~","Conn_01x01","Connector_Pin:Pin_D1.2mm_L10.2mm_W2.9mm_FlatFork","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3","1","IN1","Conn_01x01","Connector_Pin:Pin_D1.2mm_L10.2mm_W2.9mm_FlatFork","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J4","1","IN2","Conn_01x01","Connector_Pin:Pin_D1.2mm_L10.2mm_W2.9mm_FlatFork","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J5","1","OUT1","Conn_01x01","Connector_Pin:Pin_D1.2mm_L10.2mm_W2.9mm_FlatFork","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J6","1","IN3","Conn_01x01","Connector_Pin:Pin_D1.2mm_L10.2mm_W2.9mm_FlatFork","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J7","1","OUT2","Conn_01x01","Connector_Pin:Pin_D1.2mm_L10.2mm_W2.9mm_FlatFork","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J8","1","Vout","Conn_01x01","Connector_Pin:Pin_D1.2mm_L10.2mm_W2.9mm_FlatFork","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J9","1","+5V_Test","Conn_01x01","Connector_Pin:Pin_D1.2mm_L10.2mm_W2.9mm_FlatFork","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J10","1","GND_Test","Conn_01x01","Connector_Pin:Pin_D1.2mm_L10.2mm_W2.9mm_FlatFork","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
